CensusTract,State,County,PCTGQTRS,GroupQuartersFlag
1101001400,Alabama,Montgomery County,11.22,0
1101001500,Alabama,Montgomery County,41.17,0
1101005407,Alabama,Montgomery County,12.09,0
1101005501,Alabama,Montgomery County,57.89,0
1103000400,Alabama,Morgan County,15.09,0
1103000600,Alabama,Morgan County,20.19,0
1105687000,Alabama,Perry County,12.97,0
1109189100,Alabama,Pike County,24.08,0
1115040502,Alabama,St. Clair County,14.63,0
1117030319,Alabama,Shelby County,12.08,0
1117030407,Alabama,Shelby County,48.0,0
1117030701,Alabama,Shelby County,21.06,0
1121010301,Alabama,Talladega County,10.26,0
1121010700,Alabama,Talladega County,57.13,0
1121010900,Alabama,Talladega County,14.87,0
1121011200,Alabama,Talladega County,18.88,0
1125010403,Alabama,Tuscaloosa County,14.31,0
1125011200,Alabama,Tuscaloosa County,93.4,1
1125011401,Alabama,Tuscaloosa County,23.88,0
1125011600,Alabama,Tuscaloosa County,22.93,0
1125011701,Alabama,Tuscaloosa County,26.1,0
1125012600,Alabama,Tuscaloosa County,10.01,0
2013000100,Alaska,Aleutians East Borough,54.95,0
2016000100,Alaska,Aleutians West Census Area,37.47,0
2016000200,Alaska,Aleutians West Census Area,47.97,0
2020000204,Alaska,Anchorage Municipality,12.57,0
2020000300,Alaska,Anchorage Municipality,24.26,0
2020000400,Alaska,Anchorage Municipality,12.43,0
2020000901,Alaska,Anchorage Municipality,15.35,0
2020001000,Alaska,Anchorage Municipality,10.14,0
2020001100,Alaska,Anchorage Municipality,32.45,0
2020001602,Alaska,Anchorage Municipality,12.29,0
2090000200,Alaska,Fairbanks North Star Borough,15.65,0
2090001100,Alaska,Fairbanks North Star Borough,19.05,0
2090001300,Alaska,Fairbanks North Star Borough,17.92,0
2090001800,Alaska,Fairbanks North Star Borough,15.49,0
2122000100,Alaska,Kenai Peninsula Borough,46.92,0
2122001300,Alaska,Kenai Peninsula Borough,14.9,0
2150000500,Alaska,Kodiak Island Borough,10.07,0
2170000200,Alaska,Matanuska-Susitna Borough,23.51,0
2185000300,Alaska,North Slope Borough,99.92,1
4001970300,Arizona,Apache County,12.15,0
4003000500,Arizona,Cochise County,41.02,0
4003001000,Arizona,Cochise County,13.04,0
4003001401,Arizona,Cochise County,58.75,0
4003001402,Arizona,Cochise County,10.63,0
4005000800,Arizona,Coconino County,16.96,0
4005001000,Arizona,Coconino County,85.48,1
4007001200,Arizona,Gila County,11.23,0
4009961600,Arizona,Graham County,69.69,1
4009961700,Arizona,Graham County,20.71,0
4013061017,Arizona,Maricopa County,100.0,1
4013061100,Arizona,Maricopa County,19.15,0
4013071516,Arizona,Maricopa County,11.02,0
4013113100,Arizona,Maricopa County,32.66,0
4013113400,Arizona,Maricopa County,100.0,1
4013113802,Arizona,Maricopa County,23.53,0
4013114000,Arizona,Maricopa County,25.17,0
4013114100,Arizona,Maricopa County,72.51,1
4013114200,Arizona,Maricopa County,14.49,0
4013114301,Arizona,Maricopa County,75.1,1
4013114703,Arizona,Maricopa County,83.98,1
4013318700,Arizona,Maricopa County,84.3,1
4013319000,Arizona,Maricopa County,72.59,1
4013319101,Arizona,Maricopa County,16.66,0
4013522800,Arizona,Maricopa County,17.92,0
4013610000,Arizona,Maricopa County,15.99,0
4013616000,Arizona,Maricopa County,18.95,0
4013723306,Arizona,Maricopa County,96.67,1
4013980400,Arizona,Maricopa County,53.33,0
4015953602,Arizona,Mohave County,15.72,0
4015954800,Arizona,Mohave County,21.18,0
4017960200,Arizona,Navajo County,12.38,0
4017960500,Arizona,Navajo County,34.48,0
4019000500,Arizona,Pima County,68.93,1
4019000800,Arizona,Pima County,20.8,0
4019002501,Arizona,Pima County,31.18,0
4019002904,Arizona,Pima County,12.91,0
4019003600,Arizona,Pima County,15.55,0
4019004113,Arizona,Pima County,100.0,1
4019004430,Arizona,Pima County,20.33,0
4021000803,Arizona,Pinal County,93.7,1
4021000901,Arizona,Pinal County,86.75,1
4021002002,Arizona,Pinal County,91.81,1
4021002102,Arizona,Pinal County,13.86,0
4025000300,Arizona,Yavapai County,13.62,0
4025000900,Arizona,Yavapai County,17.22,0
4025001601,Arizona,Yavapai County,11.1,0
4027000100,Arizona,Yuma County,30.0,0
4027011800,Arizona,Yuma County,28.91,0
4027980005,Arizona,Yuma County,100.0,1
4027980006,Arizona,Yuma County,36.16,0
5005950400,Arkansas,Baxter County,10.29,0
5007021201,Arkansas,Benton County,22.06,0
5017080100,Arkansas,Chicot County,15.94,0
5019953601,Arkansas,Clark County,20.28,0
5019953602,Arkansas,Clark County,36.33,0
5027950400,Arkansas,Columbia County,14.01,0
5031000602,Arkansas,Craighead County,31.43,0
5035030703,Arkansas,Crittenden County,13.09,0
5043490300,Arkansas,Drew County,12.84,0
5045030403,Arkansas,Faulkner County,14.97,0
5045030701,Arkansas,Faulkner County,27.41,0
5045030800,Arkansas,Faulkner County,26.67,0
5051010700,Arkansas,Garland County,12.49,0
5051010800,Arkansas,Garland County,16.51,0
5059020500,Arkansas,Hot Spring County,27.11,0
5065960300,Arkansas,Izard County,20.86,0
5067480400,Arkansas,Jackson County,38.06,0
5069000102,Arkansas,Jefferson County,94.95,1
5069000502,Arkansas,Jefferson County,37.49,0
5069001000,Arkansas,Jefferson County,21.16,0
5069002103,Arkansas,Jefferson County,33.26,0
5071951900,Arkansas,Johnson County,10.76,0
5075470100,Arkansas,Lawrence County,17.21,0
5077470100,Arkansas,Lee County,59.02,0
5079960600,Arkansas,Lincoln County,63.83,0
5091020400,Arkansas,Miller County,24.91,0
5115951400,Arkansas,Pope County,52.48,0
5119001200,Arkansas,Pulaski County,51.06,0
5119001900,Arkansas,Pulaski County,10.66,0
5119002600,Arkansas,Pulaski County,16.02,0
5119003500,Arkansas,Pulaski County,21.22,0
5119004005,Arkansas,Pulaski County,38.84,0
5119004400,Arkansas,Pulaski County,10.34,0
5119004500,Arkansas,Pulaski County,14.06,0
5119004800,Arkansas,Pulaski County,15.63,0
5123960600,Arkansas,St. Francis County,46.83,0
5131000300,Arkansas,Sebastian County,23.94,0
5143010701,Arkansas,Washington County,12.1,0
5143011300,Arkansas,Washington County,63.54,0
5145070800,Arkansas,White County,41.14,0
6001401300,California,Alameda County,16.44,0
6001401400,California,Alameda County,11.78,0
6001401500,California,Alameda County,15.78,0
6001403100,California,Alameda County,44.01,0
6001406400,California,Alameda County,14.64,0
6001407800,California,Alameda County,28.37,0
6001408000,California,Alameda County,13.14,0
6001422000,California,Alameda County,17.31,0
6001422500,California,Alameda County,36.9,0
6001422600,California,Alameda County,97.12,1
6001422700,California,Alameda County,39.88,0
6001422800,California,Alameda County,64.94,0
6001423700,California,Alameda County,17.26,0
6001428700,California,Alameda County,14.93,0
6001430500,California,Alameda County,10.5,0
6001435102,California,Alameda County,21.12,0
6001450102,California,Alameda County,60.09,0
6001982000,California,Alameda County,23.94,0
6005000301,California,Amador County,70.86,1
6007000300,California,Butte County,12.2,0
6007000603,California,Butte County,30.1,0
6007002500,California,Butte County,12.54,0
6013316000,California,Contra Costa County,43.43,0
6013352101,California,Contra Costa County,30.98,0
6013352102,California,Contra Costa County,10.24,0
6015000201,California,Del Norte County,48.25,0
6017031200,California,El Dorado County,10.94,0
6019000100,California,Fresno County,82.76,1
6019000400,California,Fresno County,17.34,0
6019001408,California,Fresno County,15.97,0
6019005408,California,Fresno County,88.48,1
6019007901,California,Fresno County,100.0,1
6019008000,California,Fresno County,11.14,0
6023000100,California,Humboldt County,15.81,0
6023000500,California,Humboldt County,13.89,0
6023001000,California,Humboldt County,17.98,0
6023001200,California,Humboldt County,14.3,0
6025010101,California,Imperial County,90.5,1
6025012301,California,Imperial County,79.96,1
6029001500,California,Kern County,12.14,0
6029002806,California,Kern County,14.25,0
6029003304,California,Kern County,53.96,0
6029003900,California,Kern County,70.8,1
6029004302,California,Kern County,100.0,1
6029004601,California,Kern County,100.0,1
6029004603,California,Kern County,100.0,1
6029004604,California,Kern County,30.37,0
6029004701,California,Kern County,13.71,0
6029005700,California,Kern County,10.29,0
6029006002,California,Kern County,99.95,1
6029006500,California,Kern County,50.74,0
6031000300,California,Kings County,26.09,0
6031001602,California,Kings County,100.0,1
6031981800,California,Kings County,100.0,1
6035040400,California,Lassen County,86.57,1
6035040600,California,Lassen County,29.57,0
6037115103,California,Los Angeles County,97.15,1
6037121802,California,Los Angeles County,13.48,0
6037127805,California,Los Angeles County,11.54,0
6037181600,California,Los Angeles County,34.05,0
6037190201,California,Los Angeles County,13.97,0
6037190700,California,Los Angeles County,10.51,0
6037191000,California,Los Angeles County,12.11,0
6037191110,California,Los Angeles County,21.0,0
6037191201,California,Los Angeles County,23.18,0
6037192700,California,Los Angeles County,10.25,0
6037201700,California,Los Angeles County,14.25,0
6037203300,California,Los Angeles County,46.11,0
6037206020,California,Los Angeles County,94.3,1
6037206200,California,Los Angeles County,29.47,0
6037206300,California,Los Angeles County,66.51,0
6037207400,California,Los Angeles County,97.36,1
6037209810,California,Los Angeles County,20.23,0
6037221401,California,Los Angeles County,11.22,0
6037221820,California,Los Angeles County,10.08,0
6037221900,California,Los Angeles County,26.83,0
6037222700,California,Los Angeles County,81.86,1
6037224700,California,Los Angeles County,62.87,0
6037226002,California,Los Angeles County,18.83,0
6037231100,California,Los Angeles County,23.28,0
6037262301,California,Los Angeles County,19.83,0
6037265201,California,Los Angeles County,24.46,0
6037265301,California,Los Angeles County,99.86,1
6037265304,California,Los Angeles County,21.76,0
6037276500,California,Los Angeles County,65.83,0
6037400800,California,Los Angeles County,53.84,0
6037401901,California,Los Angeles County,93.36,1
6037402403,California,Los Angeles County,24.75,0
6037402404,California,Los Angeles County,99.49,1
6037403200,California,Los Angeles County,99.49,1
6037404202,California,Los Angeles County,14.82,0
6037430721,California,Los Angeles County,17.69,0
6037461502,California,Los Angeles County,15.69,0
6037463500,California,Los Angeles County,15.7,0
6037501600,California,Los Angeles County,11.61,0
6037504001,California,Los Angeles County,40.11,0
6037504102,California,Los Angeles County,13.64,0
6037540501,California,Los Angeles County,26.49,0
6037543321,California,Los Angeles County,10.89,0
6037543503,California,Los Angeles County,14.98,0
6037550000,California,Los Angeles County,64.49,0
6037551600,California,Los Angeles County,100.0,1
6037572800,California,Los Angeles County,46.96,0
6037574202,California,Los Angeles County,13.47,0
6037574601,California,Los Angeles County,97.42,1
6037574700,California,Los Angeles County,92.31,1
6037609900,California,Los Angeles County,13.67,0
6037701100,California,Los Angeles County,72.65,1
6037701502,California,Los Angeles County,13.25,0
6037701902,California,Los Angeles County,10.63,0
6037800331,California,Los Angeles County,14.36,0
6037800406,California,Los Angeles County,12.22,0
6037800410,California,Los Angeles County,58.15,0
6037900300,California,Los Angeles County,15.91,0
6037901003,California,Los Angeles County,100.0,1
6037910811,California,Los Angeles County,27.54,0
6037920011,California,Los Angeles County,25.87,0
6037920026,California,Los Angeles County,23.87,0
6037920033,California,Los Angeles County,10.29,0
6037920200,California,Los Angeles County,100.0,1
6037920332,California,Los Angeles County,26.74,0
6037930301,California,Los Angeles County,25.85,0
6037980009,California,Los Angeles County,14.29,0
6037980013,California,Los Angeles County,83.05,1
6037980015,California,Los Angeles County,35.38,0
6037980026,California,Los Angeles County,15.0,0
6037980028,California,Los Angeles County,75.0,1
6037980031,California,Los Angeles County,80.35,1
6037980033,California,Los Angeles County,80.33,1
6039000201,California,Madera County,80.85,1
6041110100,California,Marin County,12.65,0
6041122000,California,Marin County,100.0,1
6041131100,California,Marin County,11.08,0
6043000400,California,Mariposa County,30.08,0
6045011400,California,Mendocino County,10.45,0
6047000503,California,Merced County,40.98,0
6047000901,California,Merced County,16.73,0
6047001801,California,Merced County,26.03,0
6053010608,California,Monterey County,30.88,0
6053010900,California,Monterey County,99.4,1
6053011400,California,Monterey County,11.25,0
6053012600,California,Monterey County,91.75,1
6053014104,California,Monterey County,99.94,1
6055200202,California,Napa County,17.75,0
6055200900,California,Napa County,97.48,1
6055201300,California,Napa County,33.69,0
6055201700,California,Napa County,19.86,0
6059011504,California,Orange County,20.14,0
6059052404,California,Orange County,95.81,1
6059062614,California,Orange County,34.57,0
6059062628,California,Orange County,23.93,0
6059063807,California,Orange County,11.72,0
6059063906,California,Orange County,13.72,0
6059075100,California,Orange County,22.33,0
6059076102,California,Orange County,42.42,0
6059076205,California,Orange County,25.51,0
6059980000,California,Orange County,52.63,0
6061021501,California,Placer County,13.45,0
6065030300,California,Riverside County,29.62,0
6065031501,California,Riverside County,14.31,0
6065040902,California,Riverside County,11.27,0
6065042209,California,Riverside County,17.51,0
6065043247,California,Riverside County,12.86,0
6065044300,California,Riverside County,19.12,0
6065044404,California,Riverside County,15.32,0
6065046500,California,Riverside County,51.23,0
6065046601,California,Riverside County,88.3,1
6065981000,California,Riverside County,100.0,1
6067000700,California,Sacramento County,76.41,1
6067005201,California,Sacramento County,43.32,0
6067005301,California,Sacramento County,59.9,0
6067009638,California,Sacramento County,40.07,0
6067988300,California,Sacramento County,98.95,1
6071001903,California,San Bernardino County,25.93,0
6071002207,California,San Bernardino County,64.72,0
6071002706,California,San Bernardino County,14.76,0
6071004510,California,San Bernardino County,23.79,0
6071005701,California,San Bernardino County,13.9,0
6071006301,California,San Bernardino County,10.89,0
6071006500,California,San Bernardino County,22.06,0
6071008401,California,San Bernardino County,11.87,0
6071009117,California,San Bernardino County,20.96,0
6071010402,California,San Bernardino County,39.65,0
6071012200,California,San Bernardino County,78.59,1
6071012300,California,San Bernardino County,100.0,1
6071025000,California,San Bernardino County,15.18,0
6071980200,California,San Bernardino County,99.2,1
6073002801,California,San Diego County,11.96,0
6073002804,California,San Diego County,14.14,0
6073002904,California,San Diego County,27.24,0
6073003800,California,San Diego County,100.0,1
6073005100,California,San Diego County,27.76,0
6073005200,California,San Diego County,10.8,0
6073005300,California,San Diego County,45.94,0
6073005500,California,San Diego County,93.43,1
6073005700,California,San Diego County,38.04,0
6073006200,California,San Diego County,22.22,0
6073006300,California,San Diego County,99.45,1
6073006500,California,San Diego County,17.71,0
6073007200,California,San Diego County,29.0,0
6073008305,California,San Diego County,81.32,1
6073008702,California,San Diego County,16.81,0
6073009106,California,San Diego County,48.94,0
6073009400,California,San Diego County,62.91,0
6073009901,California,San Diego County,95.85,1
6073010014,California,San Diego County,26.33,0
6073011300,California,San Diego County,98.42,1
6073015802,California,San Diego County,12.6,0
6073016615,California,San Diego County,26.54,0
6073018700,California,San Diego County,44.26,0
6073019701,California,San Diego County,12.44,0
6073021302,California,San Diego County,40.85,0
6073021600,California,San Diego County,31.5,0
6073021900,California,San Diego County,73.87,1
6075011700,California,San Francisco County,10.32,0
6075011901,California,San Francisco County,13.66,0
6075012100,California,San Francisco County,16.07,0
6075012202,California,San Francisco County,16.08,0
6075012402,California,San Francisco County,13.56,0
6075012501,California,San Francisco County,30.98,0
6075012502,California,San Francisco County,14.66,0
6075015700,California,San Francisco County,30.8,0
6075017700,California,San Francisco County,13.02,0
6075017902,California,San Francisco County,24.24,0
6075018000,California,San Francisco County,42.0,0
6075022802,California,San Francisco County,22.68,0
6075026002,California,San Francisco County,11.68,0
6075030500,California,San Francisco County,29.25,0
6075033201,California,San Francisco County,58.46,0
6075060700,California,San Francisco County,11.84,0
6075980200,California,San Francisco County,59.69,0
6075980300,California,San Francisco County,73.68,1
6075980501,California,San Francisco County,15.56,0
6075980900,California,San Francisco County,18.0,0
6077000300,California,San Joaquin County,11.85,0
6077001200,California,San Joaquin County,29.3,0
6077003113,California,San Joaquin County,12.85,0
6077003803,California,San Joaquin County,34.25,0
6077005131,California,San Joaquin County,11.21,0
6077005501,California,San Joaquin County,71.32,1
6079010603,California,San Luis Obispo County,10.8,0
6079010901,California,San Luis Obispo County,80.54,1
6079011400,California,San Luis Obispo County,99.72,1
6079011504,California,San Luis Obispo County,59.4,0
6079012800,California,San Luis Obispo County,91.87,1
6081610202,California,San Mateo County,39.07,0
6083000101,California,Santa Barbara County,17.09,0
6083000700,California,Santa Barbara County,14.4,0
6083002604,California,Santa Barbara County,93.83,1
6083002606,California,Santa Barbara County,11.54,0
6083002922,California,Santa Barbara County,75.51,1
6083002924,California,Santa Barbara County,21.04,0
6085500200,California,Santa Clara County,27.74,0
6085500902,California,Santa Clara County,65.69,0
6085501300,California,Santa Clara County,18.28,0
6085503122,California,Santa Clara County,11.19,0
6085504504,California,Santa Clara County,26.36,0
6085505007,California,Santa Clara County,10.56,0
6085505203,California,Santa Clara County,28.34,0
6085505600,California,Santa Clara County,26.93,0
6085511608,California,Santa Clara County,91.78,1
6085511705,California,Santa Clara County,10.15,0
6085513000,California,Santa Clara County,35.59,0
6087100400,California,Santa Cruz County,87.1,1
6087100700,California,Santa Cruz County,29.48,0
6089010100,California,Shasta County,14.17,0
6089010804,California,Shasta County,18.8,0
6095250801,California,Solano County,11.72,0
6095252502,California,Solano County,32.48,0
6095252802,California,Solano County,66.81,0
6095253000,California,Solano County,100.0,1
6097150500,California,Sonoma County,13.33,0
6097151310,California,Sonoma County,37.54,0
6097152000,California,Sonoma County,12.51,0
6097152100,California,Sonoma County,24.17,0
6099001800,California,Stanislaus County,27.14,0
6107000900,California,Tulare County,15.74,0
6107004000,California,Tulare County,98.57,1
6109985202,California,Tuolumne County,100.0,1
6111001503,California,Ventura County,23.94,0
6111004305,California,Ventura County,34.8,0
6111004600,California,Ventura County,21.97,0
6111005700,California,Ventura County,33.7,0
6111006302,California,Ventura County,37.95,0
6111980000,California,Ventura County,100.0,1
6113010501,California,Yolo County,54.64,0
6113010703,California,Yolo County,24.79,0
6115040100,California,Yuba County,12.57,0
6115040902,California,Yuba County,23.78,0
8001008100,Colorado,Adams County,29.04,0
8001008604,Colorado,Adams County,27.1,0
8005006856,Colorado,Arapahoe County,16.2,0
8005007104,Colorado,Arapahoe County,11.11,0
8011966700,Colorado,Bent County,33.97,0
8013012300,Colorado,Boulder County,73.55,1
8013012401,Colorado,Boulder County,11.21,0
8013012511,Colorado,Boulder County,24.13,0
8013012707,Colorado,Boulder County,19.64,0
8015000402,Colorado,Chaffee County,35.06,0
8025969600,Colorado,Crowley County,46.06,0
8029964800,Colorado,Delta County,14.46,0
8031001500,Colorado,Denver County,15.16,0
8031001600,Colorado,Denver County,17.12,0
8031001702,Colorado,Denver County,14.69,0
8031001902,Colorado,Denver County,88.09,1
8031002602,Colorado,Denver County,11.7,0
8031003003,Colorado,Denver County,31.39,0
8031003004,Colorado,Denver County,18.21,0
8031003102,Colorado,Denver County,21.19,0
8031004106,Colorado,Denver County,31.5,0
8031004202,Colorado,Denver County,13.51,0
8031005502,Colorado,Denver County,19.23,0
8031015400,Colorado,Denver County,14.13,0
8041001600,Colorado,El Paso County,55.41,0
8041002300,Colorado,El Paso County,13.45,0
8041003801,Colorado,El Paso County,14.25,0
8041003802,Colorado,El Paso County,99.96,1
8041004008,Colorado,El Paso County,25.96,0
8041004402,Colorado,El Paso County,97.02,1
8041004403,Colorado,El Paso County,12.46,0
8041004501,Colorado,El Paso County,36.22,0
8041007800,Colorado,El Paso County,19.78,0
8043980100,Colorado,Fremont County,100.0,1
8043980200,Colorado,Fremont County,100.0,1
8043980300,Colorado,Fremont County,100.0,1
8051963700,Colorado,Gunnison County,12.41,0
8059010000,Colorado,Jefferson County,45.73,0
8059011202,Colorado,Jefferson County,10.88,0
8059980400,Colorado,Jefferson County,100.0,1
8063962100,Colorado,Kit Carson County,19.1,0
8067970800,Colorado,La Plata County,18.99,0
8069000600,Colorado,Larimer County,80.72,1
8069001605,Colorado,Larimer County,27.19,0
8071000800,Colorado,Las Animas County,17.32,0
8073961700,Colorado,Lincoln County,27.92,0
8075966200,Colorado,Logan County,13.24,0
8075966400,Colorado,Logan County,68.0,1
8077000500,Colorado,Mesa County,49.15,0
8077000900,Colorado,Mesa County,13.7,0
8101000300,Colorado,Pueblo County,100.0,1
8101000903,Colorado,Pueblo County,84.43,1
8101003004,Colorado,Pueblo County,11.76,0
8101003500,Colorado,Pueblo County,27.72,0
8123000200,Colorado,Weld County,36.76,0
8123000300,Colorado,Weld County,99.89,1
8123000600,Colorado,Weld County,61.26,0
8123001902,Colorado,Weld County,11.25,0
9001060100,Connecticut,Fairfield County,35.14,0
9001060700,Connecticut,Fairfield County,35.0,0
9001070400,Connecticut,Fairfield County,36.74,0
9001070600,Connecticut,Fairfield County,17.14,0
9001071900,Connecticut,Fairfield County,18.84,0
9001072600,Connecticut,Fairfield County,11.62,0
9001210800,Connecticut,Fairfield County,17.5,0
9001211100,Connecticut,Fairfield County,97.38,1
9001230502,Connecticut,Fairfield County,14.72,0
9003417300,Connecticut,Hartford County,98.33,1
9003477102,Connecticut,Hartford County,29.53,0
9003497200,Connecticut,Hartford County,28.28,0
9003497300,Connecticut,Hartford County,14.35,0
9003500500,Connecticut,Hartford County,12.66,0
9003500700,Connecticut,Hartford County,100.0,1
9003501700,Connecticut,Hartford County,10.7,0
9003502700,Connecticut,Hartford County,36.03,0
9003503800,Connecticut,Hartford County,77.02,1
9003510200,Connecticut,Hartford County,12.99,0
9003515101,Connecticut,Hartford County,11.9,0
9003524200,Connecticut,Hartford County,10.73,0
9003524300,Connecticut,Hartford County,46.32,0
9005300400,Connecticut,Litchfield County,10.41,0
9007541500,Connecticut,Middlesex County,54.76,0
9007541700,Connecticut,Middlesex County,16.15,0
9007680200,Connecticut,Middlesex County,11.25,0
9009140300,Connecticut,New Haven County,14.18,0
9009141300,Connecticut,New Haven County,39.57,0
9009141600,Connecticut,New Haven County,17.93,0
9009165700,Connecticut,New Haven County,12.62,0
9009166002,Connecticut,New Haven County,42.56,0
9009343101,Connecticut,New Haven County,36.49,0
9009348111,Connecticut,New Haven County,15.82,0
9009351900,Connecticut,New Haven County,18.85,0
9009361401,Connecticut,New Haven County,51.53,0
9009361402,Connecticut,New Haven County,89.66,1
9009361500,Connecticut,New Haven County,32.97,0
9011690900,Connecticut,New London County,10.14,0
9011702600,Connecticut,New London County,47.02,0
9011716101,Connecticut,New London County,34.47,0
9011870300,Connecticut,New London County,40.51,0
9011870502,Connecticut,New London County,42.18,0
9011980000,Connecticut,New London County,99.71,1
9013538100,Connecticut,Tolland County,100.0,1
9013881200,Connecticut,Tolland County,96.73,1
9013881300,Connecticut,Tolland County,35.5,0
9013881500,Connecticut,Tolland County,12.19,0
9015800300,Connecticut,Windham County,40.98,0
10001040900,Delaware,Kent County,25.38,0
10001043300,Delaware,Kent County,38.77,0
10003003002,Delaware,New Castle County,47.33,0
10003014300,Delaware,New Castle County,43.86,0
10003014403,Delaware,New Castle County,29.54,0
10003014502,Delaware,New Castle County,39.54,0
10003015200,Delaware,New Castle County,10.19,0
10003016904,Delaware,New Castle County,63.24,0
10005050504,Delaware,Sussex County,25.16,0
11001000201,District of Columbia,District of Columbia,99.8,1
11001000202,District of Columbia,District of Columbia,20.92,0
11001000901,District of Columbia,District of Columbia,42.2,0
11001002302,District of Columbia,District of Columbia,14.34,0
11001003400,District of Columbia,District of Columbia,49.34,0
11001003500,District of Columbia,District of Columbia,40.53,0
11001003700,District of Columbia,District of Columbia,12.18,0
11001004702,District of Columbia,District of Columbia,16.65,0
11001005600,District of Columbia,District of Columbia,28.61,0
11001005900,District of Columbia,District of Columbia,18.35,0
11001006202,District of Columbia,District of Columbia,48.48,0
11001006804,District of Columbia,District of Columbia,98.91,1
11001007000,District of Columbia,District of Columbia,22.72,0
11001007301,District of Columbia,District of Columbia,16.04,0
11001008803,District of Columbia,District of Columbia,51.55,0
11001009201,District of Columbia,District of Columbia,40.64,0
11001009501,District of Columbia,District of Columbia,34.79,0
11001010300,District of Columbia,District of Columbia,12.39,0
11001010400,District of Columbia,District of Columbia,14.68,0
11001010700,District of Columbia,District of Columbia,10.45,0
11001010800,District of Columbia,District of Columbia,79.26,1
11001010900,District of Columbia,District of Columbia,13.92,0
11001011100,District of Columbia,District of Columbia,11.61,0
12001000200,Florida,Alachua County,14.43,0
12001000809,Florida,Alachua County,25.51,0
12001000901,Florida,Alachua County,70.84,1
12001000902,Florida,Alachua County,99.11,1
12001001400,Florida,Alachua County,45.15,0
12001001902,Florida,Alachua County,25.36,0
12003040201,Florida,Baker County,18.57,0
12005000300,Florida,Bay County,11.45,0
12005000500,Florida,Bay County,16.35,0
12005000700,Florida,Bay County,13.69,0
12005001600,Florida,Bay County,12.32,0
12007000200,Florida,Bradford County,23.21,0
12007000400,Florida,Bradford County,34.33,0
12009062109,Florida,Brevard County,44.31,0
12009064901,Florida,Brevard County,14.83,0
12009067100,Florida,Brevard County,14.89,0
12009980000,Florida,Brevard County,100.0,1
12011030600,Florida,Broward County,37.87,0
12011042302,Florida,Broward County,20.16,0
12011042500,Florida,Broward County,18.85,0
12011070204,Florida,Broward County,17.1,0
12011070314,Florida,Broward County,13.78,0
12011110341,Florida,Broward County,17.22,0
12013010300,Florida,Calhoun County,23.07,0
12015010100,Florida,Charlotte County,28.51,0
12015010501,Florida,Charlotte County,11.23,0
12015021003,Florida,Charlotte County,13.21,0
12017451400,Florida,Citrus County,17.26,0
12019031400,Florida,Clay County,10.92,0
12021010604,Florida,Collier County,26.8,0
12021011204,Florida,Collier County,10.86,0
12023110300,Florida,Columbia County,40.29,0
12023110700,Florida,Columbia County,10.11,0
12027010102,Florida,DeSoto County,52.79,0
12027010404,Florida,DeSoto County,10.61,0
12029970101,Florida,Dixie County,28.52,0
12031001000,Florida,Duval County,79.31,1
12031010301,Florida,Duval County,14.93,0
12031013200,Florida,Duval County,55.39,0
12031013800,Florida,Duval County,31.45,0
12031013901,Florida,Duval County,40.79,0
12031014404,Florida,Duval County,29.16,0
12031014800,Florida,Duval County,24.54,0
